genome_id	genus	species	original_status_I30	risk_category_curated	action	A1_risk	A2_risk	A3_risk	A4_risk	curation_note
Prob690_Enterococcus_faecium_S10	Enterococcus	Enterococcus faecium	Safety-review	true_safety_review_mobile_risk_possible	retain_current_non_priority	0.2954545454545454	0.0194805194805194	0.3201818181818182	0.3919580419580419	Risk categories are expert-review aids. Only release-table rows alter status.
Prob693_Enterococcus_faecalis_S613	Enterococcus	Enterococcus faecalis	Safety-review	true_safety_review_mobile_risk_possible	retain_current_non_priority	0.4090909090909091	0.0974025974025974	0.2318181818181818	0.5005244755244755	Risk categories are expert-review aids. Only release-table rows alter status.
Prob69_Bacillus_velezensis_FS26	Bacillus	Bacillus velezensis	Safety-review	recoverable_taxon_prior_or_fermentation_niche_release	release_to_priority_if_no_non_overrideable_risk	0.0227272727272727	0.0	0.3272727272727272	0.1653846153846153	Risk categories are expert-review aids. Only release-table rows alter status.
Prob6_Escherichia_coli_C51	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	1.0	0.8311688311688312	0.6656363636363637	1.0	Risk categories are expert-review aids. Only release-table rows alter status.
Prob701_Enterococcus_faecalis_s8	Enterococcus	Enterococcus faecalis	Safety-review	true_safety_review_mobile_risk_possible	retain_current_non_priority	0.3863636363636363	0.1753246753246753	0.3958181818181818	0.3206293706293706	Risk categories are expert-review aids. Only release-table rows alter status.
Prob70_Escherichia_coli_83	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	1.0	0.8181818181818182	0.8003636363636364	1.0	Risk categories are expert-review aids. Only release-table rows alter status.
Prob712_Escherichia_coli_K4	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	0.9772727272727272	1.0	0.7065454545454545	0.8087412587412588	Risk categories are expert-review aids. Only release-table rows alter status.
Prob734_Escherichia_coli_C32	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	1.0	0.7142857142857143	0.7065454545454545	0.7923076923076923	Risk categories are expert-review aids. Only release-table rows alter status.
Prob736_Enterococcus_faecalis_V583	Enterococcus	Enterococcus faecalis	Safety-review	true_safety_review_mobile_risk_possible	retain_current_non_priority	0.3863636363636363	0.2337662337662337	0.376	0.5597902097902099	Risk categories are expert-review aids. Only release-table rows alter status.
Prob738_Escherichia_coli_K-12_DH10B	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	0.9772727272727272	0.512987012987013	0.5412727272727272	0.5634615384615385	Risk categories are expert-review aids. Only release-table rows alter status.
Prob748_Enterococcus_hirae_Pom4	Enterococcus	Enterococcus hirae	Safety-review	true_safety_review_mobile_risk_possible	retain_current_non_priority	0.0681818181818181	0.0	0.209090909090909	0.3975524475524475	Risk categories are expert-review aids. Only release-table rows alter status.
Prob759_Escherichia_coli_CEC15	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	0.9545454545454546	0.6428571428571429	0.7185454545454545	0.5213286713286713	Risk categories are expert-review aids. Only release-table rows alter status.
Prob763_Pseudomonas_aeruginosa_9	Pseudomonas	Pseudomonas aeruginosa	Risk-profile-rejected	true_rejected_or_benchmark_label_contestable	retain_current_non_priority	1.0	1.0	0.6772727272727272	0.2615384615384615	Risk categories are expert-review aids. Only release-table rows alter status.
Prob7_Escherichia_coli_Q5	Escherichia	Escherichia coli	Safety-review	true_rejected_or_strain_evidence_required	retain_current_non_priority	0.9318181818181818	0.6883116883116883	0.7065454545454545	0.6076923076923078	Risk categories are expert-review aids. Only release-table rows alter status.
Prob88_Escherichia_coli_Q12	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	1.0	0.551948051948052	0.7185454545454545	0.775	Risk categories are expert-review aids. Only release-table rows alter status.
Prob8_Escherichia_coli_C41	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	0.9545454545454546	0.6948051948051948	0.8003636363636364	0.8288461538461539	Risk categories are expert-review aids. Only release-table rows alter status.
Prob91_Escherichia_coli_HB101	Escherichia	Escherichia coli	Risk-profile-rejected	true_rejected_or_strain_evidence_required	retain_current_non_priority	0.9772727272727272	0.5	0.5412727272727272	0.5807692307692308	Risk categories are expert-review aids. Only release-table rows alter status.
Prob92_Klebsiella_pneumoniae_M2	Klebsiella	Klebsiella pneumoniae	Risk-profile-rejected	true_rejected_or_benchmark_label_contestable	retain_current_non_priority	0.9318181818181818	0.487012987012987	0.6747272727272727	0.7057692307692308	Risk categories are expert-review aids. Only release-table rows alter status.
